seed,episode,total_reward,avg_reward_per_step,fruit_count,fruit_rate,wall_hits,wall_hit_rate,self_hits,self_hit_rate,wins,win_rate
42,0,132.59999985992908,0.1325999998599291,284,0.284,0,0.0,47,0.047,0,0.0
42,1,125.0999998152256,0.1250999998152256,275,0.275,0,0.0,62,0.062,0,0.0
42,2,136.69999983906746,0.13669999983906747,295,0.295,0,0.0,54,0.054,0,0.0
42,3,130.69999983906746,0.13069999983906747,283,0.283,0,0.0,54,0.054,0,0.0
42,4,134.39999987185,0.13439999987185,286,0.286,0,0.0,43,0.043,0,0.0
42,5,138.69999983906746,0.13869999983906747,299,0.299,0,0.0,54,0.054,0,0.0
42,6,136.09999983012676,0.13609999983012677,295,0.295,0,0.0,57,0.057,0,0.0
42,7,134.69999983906746,0.13469999983906747,291,0.291,0,0.0,54,0.054,0,0.0
42,8,127.79999981820583,0.12779999981820583,280,0.28,0,0.0,61,0.061,0,0.0
42,9,137.29999984800816,0.13729999984800817,295,0.295,0,0.0,51,0.051,0,0.0
42,10,127.299999833107,0.127299999833107,277,0.277,0,0.0,56,0.056,0,0.0
42,11,133.799999833107,0.133799999833107,290,0.29,0,0.0,56,0.056,0,0.0
42,12,135.19999983906746,0.13519999983906747,292,0.292,0,0.0,54,0.054,0,0.0
42,13,128.5999998524785,0.1285999998524785,277,0.277,1,0.001,49,0.049,0,0.0
42,14,126.69999983906746,0.12669999983906746,275,0.275,0,0.0,54,0.054,0,0.0
42,15,128.0999998524785,0.1280999998524785,276,0.276,1,0.001,49,0.049,0,0.0
42,16,130.59999983012676,0.13059999983012677,284,0.284,0,0.0,57,0.057,0,0.0
42,17,130.99999983608723,0.13099999983608723,284,0.284,0,0.0,55,0.055,0,0.0
42,18,130.59999983012676,0.13059999983012677,284,0.284,0,0.0,57,0.057,0,0.0
42,19,127.79999984055758,0.12779999984055757,277,0.277,1,0.001,53,0.053,0,0.0
100,0,132.99999983608723,0.13299999983608723,288,0.288,0,0.0,55,0.055,0,0.0
100,1,131.29999984800816,0.13129999984800816,283,0.283,0,0.0,51,0.051,0,0.0
100,2,132.29999984800816,0.13229999984800817,285,0.285,0,0.0,51,0.051,0,0.0
100,3,136.0999998524785,0.1360999998524785,292,0.292,1,0.001,49,0.049,0,0.0
100,4,132.39999985694885,0.13239999985694886,284,0.284,0,0.0,48,0.048,0,0.0
100,5,131.69999985396862,0.13169999985396863,283,0.283,0,0.0,49,0.049,0,0.0
100,6,129.29999981820583,0.12929999981820584,283,0.283,0,0.0,61,0.061,0,0.0
100,7,137.19999983906746,0.13719999983906747,296,0.296,0,0.0,54,0.054,0,0.0
100,8,133.299999833107,0.133299999833107,289,0.289,0,0.0,56,0.056,0,0.0
100,9,126.19999983906746,0.12619999983906746,274,0.274,4,0.004,52,0.052,0,0.0
100,10,132.89999985694885,0.13289999985694886,285,0.285,0,0.0,48,0.048,0,0.0
100,11,127.799999833107,0.127799999833107,278,0.278,0,0.0,56,0.056,0,0.0
100,12,138.29999986290932,0.1382999998629093,295,0.295,0,0.0,46,0.046,0,0.0
100,13,132.79999984800816,0.13279999984800817,286,0.286,0,0.0,51,0.051,0,0.0
100,14,133.09999983012676,0.13309999983012677,289,0.289,0,0.0,57,0.057,0,0.0
100,15,129.39999982714653,0.12939999982714653,282,0.282,0,0.0,58,0.058,0,0.0
100,16,132.3999998420477,0.1323999998420477,286,0.286,0,0.0,53,0.053,0,0.0
100,17,133.79999984800816,0.13379999984800817,288,0.288,0,0.0,51,0.051,0,0.0
100,18,131.8999998420477,0.1318999998420477,285,0.285,0,0.0,53,0.053,0,0.0
100,19,129.49999983608723,0.12949999983608723,281,0.281,0,0.0,55,0.055,0,0.0
2024,0,129.99999983608723,0.12999999983608723,282,0.282,0,0.0,55,0.055,0,0.0
2024,1,124.79999986290932,0.12479999986290932,268,0.268,0,0.0,46,0.046,0,0.0
2024,2,136.49999983608723,0.13649999983608724,295,0.295,0,0.0,55,0.055,0,0.0
2024,3,132.799999833107,0.132799999833107,288,0.288,0,0.0,56,0.056,0,0.0
2024,4,129.3999998420477,0.1293999998420477,280,0.28,0,0.0,53,0.053,0,0.0
2024,5,133.69999983161688,0.13369999983161687,290,0.29,1,0.001,56,0.056,0,0.0
2024,6,127.299999833107,0.127299999833107,277,0.277,0,0.0,56,0.056,0,0.0
2024,7,128.99999983608723,0.12899999983608723,280,0.28,0,0.0,55,0.055,0,0.0
2024,8,131.69999983906746,0.13169999983906747,285,0.285,0,0.0,54,0.054,0,0.0
2024,9,128.79999986290932,0.12879999986290933,276,0.276,0,0.0,46,0.046,0,0.0
2024,10,129.9999998509884,0.1299999998509884,280,0.28,0,0.0,50,0.05,0,0.0
2024,11,139.4999998509884,0.13949999985098838,299,0.299,0,0.0,50,0.05,0,0.0
2024,12,135.19999985396862,0.13519999985396863,290,0.29,0,0.0,49,0.049,0,0.0
2024,13,131.1999998241663,0.1311999998241663,286,0.286,0,0.0,59,0.059,0,0.0
2024,14,129.89999982714653,0.12989999982714653,283,0.283,0,0.0,58,0.058,0,0.0
2024,15,128.799999833107,0.128799999833107,280,0.28,0,0.0,56,0.056,0,0.0
2024,16,135.19999983161688,0.13519999983161687,293,0.293,1,0.001,56,0.056,0,0.0
2024,17,128.09999984502792,0.12809999984502793,277,0.277,0,0.0,52,0.052,0,0.0
2024,18,131.79999984800816,0.13179999984800816,284,0.284,0,0.0,51,0.051,0,0.0
